lf1	of
lf2	or
gl1	to
gl2	go
lh1	on
lh2	oh
sah1	say
sah2	way
ghdh1	they
ghdh2	then
hlg1	not
hlg2	hot
dah1	can
dah2	day
jh1	my
jh2	uh
gakd1	take
gakd2	bake
ljg1	out
ljg2	put
jjsg1	just
jjsg2	must
hljf1	your
hljf2	hour
dljd1	come
dljd2	clue
hls1	now
hls2	how
jlfd1	more
jlfd2	move
hds1	new
hds2	yes
jah1	man
jah2	may
fkhd1	find
fkhd2	fine
sdll1	well
sdll2	sell
gdll1	tell
gdll2	bell
js1	us
js2	ms
lkfd1	life
lkfd2	live
lasg1	last
lasg2	past
gll1	too
gll2	top
sgagd1	state
sgagd2	stage
shh1	why
shh2	shy
gfdag1	great
gfdag2	treat
gkg1	big
gkg2	bit
shls1	show
shls2	snow
dasd1	case
dasd2	ease
sddk1	week
sddk2	seek
fkghg1	right
fkghg2	fight
fjh1	run
fjh2	fun
hdsg1	next
hdsg2	nest
dhd1	eye
dhd2	end
skdd1	side
skdd2	wide
faghdf1	father
faghdf2	rather
llsdf1	power
llsdf2	lower
hdg1	yet
hdg2	net
lkhd1	line
lkhd2	pine
llsd1	lose
llsd2	pose
daf1	car
daf2	ear
fkfd1	five
fkfd2	fire
gdaj1	team
gdaj2	beam
fllg1	foot
fllg2	root
glh1	boy
glh2	toy
fdadh1	reach
fdadh2	ready
lagd1	late
lagd2	page
dlsd1	else
dlsd2	dose
skfd1	wife
skfd2	wire
jkhd1	mind
jkhd2	mine
lfkdd1	price
lfkdd2	pride
slh1	son
slh2	spy
gas1	tax
gas2	gas
gdadh1	teach
gdadh2	beach
lkl1	oil
lkl2	lip
lahd1	land
lahd2	lane
gagh1	baby
gagh2	bath
fdd1	red
fdd2	fee
gahk1	bank
gahk2	tank
gdd1	bed
gdd2	bee
dfll1	drop
dfll2	crop
jllh1	upon
jllh2	moon
sglfd1	store
sglfd2	stove
sljhd1	sound
sljhd2	wound
dasg1	east
dasg2	cast
dlg1	dog
dlg2	dot
gls1	box
gls2	bow
gkll1	bill
gkll2	till
fakl1	fail
fakl2	rail
slfg1	sort
slfg2	soft
dhddk1	check
dhddk2	cheek
dlld1	cold
dlld2	cope
hkdd1	nice
hkdd2	hide
gall1	ball
gall2	tall
shakd1	shake
shakd2	snake
gfkl1	trip
gfkl2	grip
slffh1	worry
slffh2	sorry
fdaf1	fear
fdaf2	rear
dfdaj1	dream
dfdaj2	cream
hdag1	heat
hdag2	neat
skhg1	sing
skhg2	wing
dahddf1	cancer
dahddf2	dancer
dladh1	coach
dladh2	dozen
skhd1	wind
skhd2	wine
fasg1	fast
fasg2	vast
fdfdf1	refer
fdfdf2	fever
dagd1	date
dagd2	cage
fah1	fan
fah2	van
shkl1	ship
shkl2	whip
sllg1	spot
sllg2	slot
ladk1	lack
ladk2	pack
glag1	boat
glag2	goat
slld1	wood
slld2	sole
skhgdf1	winter
skhgdf2	singer
fkllagd1	village
fkllagd2	violate
flll1	roll
flll2	fool
shald1	shape
shald2	whale
fkdd1	ride
fkdd2	rice
glll1	tool
glll2	toll
skld1	wild
skld2	wipe
gkgld1	title
gkgld2	bible
fkg1	fit
fkg2	rib
dfh1	cry
dfh2	dry
dlhgdsg1	context
dlhgdsg2	contest
asafd1	aware
asafd2	award
dlll1	cool
dlll2	doll
gald1	tape
gald2	tale
gkd1	tie
gkd2	bid
fag1	fat
fag2	rat
ljhdh1	lunch
ljhdh2	punch
sljl1	soul
sljl2	soup
gfdagh1	breath
gfdagh2	treaty
shkfg1	shift
shkfg2	shirt
lkhk1	link
lkhk2	pink
sakd1	wake
sakd2	sake
slkl1	slip
slkl2	soil
djd1	due
djd2	cue
gdhddf1	gender
gdhddf2	tender
flfgh1	forth
flfgh2	forty
ffajd1	frame
ffajd2	fraud
gllgh1	tooth
gllgh2	booth
fafd1	rare
fafd2	fare
gddf1	beer
gddf2	beef
sddd1	seed
sddd2	weed
gjsh1	busy
gjsh2	bush
gfah1	gray
gfah2	tray
dlfd1	core
dlfd2	cord
shddl1	wheel
shddl2	sheep
lag1	lab
lag2	pat
gal1	gap
gal2	tap
gfkdf1	brief
gfkdf2	grief
llsg1	post
llsg2	lost
sgddl1	steel
sgddl2	steep
slkdd1	slide
slkdd2	slice
gfahd1	grand
gfahd2	brand
glss1	boss
glss2	toss
gllg1	boot
gllg2	bolt
fljhd1	round
fljhd2	found
hllh1	holy
hllh2	noon
flag1	flag
flag2	flat
gjdk1	buck
gjdk2	tuck
fkfgh1	fifth
fkfgh2	fifty
jakl1	mail
jakl2	jail
dfafg1	draft
dfafg2	craft
fdgakh1	retain
fdgakh2	regain
slafd1	slave
slafd2	spare
gdsgjfd1	gesture
gdsgjfd2	texture
lkld1	pipe
lkld2	pile
falkd1	rapid
falkd2	valid
hjhgdf1	hunter
hjhgdf2	hunger
gfkdk1	trick
gfkdk2	brick
gld1	god
gld2	toe
hjg1	nut
hjg2	hug
shlfd1	shore
shlfd2	shove
gfafd1	grave
gfafd2	brave
lkg1	pig
lkg2	pit
sdafd1	scare
sdafd2	weave
slal1	slap
slal2	soap
glasg1	boast
glasg2	blast
hafd1	have
hafd2	hard
hafd3	yard
skgh1	with
skgh2	sign
skgh3	sigh
gjg1	but
gjg2	bug
gjg3	gut
gdg1	get
gdg2	bet
gdg3	beg
hdaf1	year
hdaf2	hear
hdaf3	near
gkfd1	give
gkfd2	bird
gkfd3	tire
glld1	good
